BALANCE_DATE,STAKED_ETH_BALANCE,AVERAGE_ETH_BALANCE,NUMBER_WALLETS,MAX_ETH_BALANCE,NON_LABELED_WALLET_COUNTS,LABELED_WALLET_COUNTS,NON_LABELED_WALLET_SUM,LABELED_WALLET_SUM,LABELS,LABEL_SUBTYPES,LABEL_TYPES
2022-02-10,1838803.16805357,43.279195237,42487,623453.335146969,42271,216,699613.143069645,1139190.02498392,41,14,6
2022-02-17,1878409.83261323,40.36205833,46539,609336.420937894,46307,232,735261.88156899,1143147.95104424,42,14,6
2022-01-13,1678108.37402215,42.894237872,39122,633955.26184434,38917,205,665238.451046463,1012869.92297569,40,13,5
2022-03-21,2725176.6128907,50.789783303,53656,681845.496314034,53393,263,1249408.89047975,1475767.72241096,47,14,7
2022-03-06,2092173.16768477,42.049505933,49755,612315.409491864,49510,245,849590.116896559,1242583.05078821,44,14,7
2022-01-03,1634650.47483691,42.933510397,38074,624312.584195873,37873,201,650983.894123066,983666.580713846,40,13,5
2022-04-17,3381632.92591349,57.394608291,58919,806953.452814865,58641,278,1630383.9790498,1751248.94686368,46,14,7
2022-03-07,2113516.00057836,42.094365564,50209,617479.662894097,49962,247,863900.250524753,1249615.7500536,45,14,7
2022-03-11,2231062.33603932,43.584800173,51189,650739.53860389,50935,254,875120.624140849,1355941.71189847,47,14,7
2022-03-18,2634697.89021867,49.918489773,52780,672444.428639452,52522,258,1163884.6699459,1470813.22027277,47,14,7
2022-03-04,2064638.1867181,42.198340113,48927,611493.171554979,48685,242,830590.144873028,1234048.04184507,43,14,6
2022-06-07,4214233.30632478,57.80682706,72902,1493298.51327897,72567,335,3124846.78315023,1089386.52317455,54,15,8
2022-02-08,1827471.73996716,43.44193168,42067,621791.13420735,41853,214,695401.21018357,1132070.52978359,41,14,6
2022-03-25,2790182.80220051,51.078861368,54625,723799.446899262,54361,264,1239862.26667816,1550320.53552234,47,14,7
2022-01-11,1674174.7575279,42.939669074,38989,636258.776476275,38784,205,659900.710941088,1014274.04658682,40,13,5
2022-03-01,2014785.53346586,41.671710552,48349,601804.667905983,48107,242,792434.931849688,1222350.60161617,43,14,6
2022-02-24,1955862.38023909,41.204676517,47467,600713.326838545,47230,237,739966.982485487,1215895.3977536,42,14,6
2022-02-16,1868676.40839217,40.304469166,46364,608825.217706932,46133,231,726827.008022316,1141849.40036986,42,14,6
2022-02-20,1887471.89214366,40.212022075,46938,610238.609443374,46703,235,734154.927315734,1153316.96482792,42,14,6
2022-04-02,3012359.85335495,53.050382216,56783,787018.550217513,56514,269,1357321.19221524,1655038.6611397,47,14,7
2022-01-30,1783107.16129039,43.451206504,41037,635200.700791784,40827,210,728834.39332428,1054272.76796611,40,13,5
2022-02-27,1972169.06006506,41.085143537,48002,602658.31614839,47762,240,743093.084686761,1229075.9753783,42,14,6
2022-03-16,2543319.90175209,48.558880055,52376,668729.568267197,52121,255,1135159.96868951,1408159.93306258,47,14,7
2022-04-13,3295096.14597103,56.588575211,58229,815810.333763307,57954,275,1615762.76448579,1679333.38148524,46,14,7
2022-05-28,4263781.66801775,59.560837415,71587,1400704.04197585,71257,330,3089452.37696682,1174329.29105092,54,15,8
2022-05-26,4262870.94248753,59.988896054,71061,1379624.00518072,70731,330,3093260.59320721,1169610.34928032,54,15,8
2022-01-12,1676008.4241873,42.898677319,39069,637376.063118796,38864,205,660735.758633614,1015272.66555368,40,13,5
2022-04-16,3377762.72463341,57.38736174,58859,810694.019275176,58581,278,1622536.56121311,1755226.16342031,46,14,7
2022-01-04,1652280.22518719,43.257938663,38196,624584.864870579,37994,202,652015.120160548,1000265.10502664,40,13,5
2022-04-08,3144091.12318048,54.37440332,57823,815107.164305662,57549,274,1447636.86401901,1696454.25916147,46,14,7
2022-06-04,4341010.28600535,59.766363581,72633,1478844.07672171,72299,334,3188659.87347721,1152350.41252814,54,15,8
2022-03-03,2047258.92284682,42.018326516,48723,610900.628810609,48481,242,816709.261620237,1230549.66122659,43,14,6
2022-01-26,1764579.41155169,43.5204314,40546,593141.375257951,40336,210,751376.596795575,1013202.81475611,40,13,5
2022-01-18,1687750.52021314,42.605975821,39613,634409.625387542,39406,207,671458.474140031,1016292.04607311,40,13,5
2022-02-25,1958705.82821966,41.138046925,47613,601360.779393374,47374,239,738243.45042849,1220462.37779117,42,14,6
2022-06-02,4270992.31821536,58.807224837,72627,1424995.38319926,72293,334,3134808.97006973,1136183.34814563,54,15,8
2022-04-23,3543426.26394233,59.354867987,59699,861943.809106878,59416,283,1738787.24551847,1804639.01842386,48,14,7
2022-05-24,4264179.65199586,60.300921332,70715,1384323.53577984,70386,329,3096488.03345204,1167691.61854382,52,15,7
2021-12-18,1571107.05600367,43.790263002,35878,679763.683224926,35684,194,591420.142426284,979686.913577383,40,13,5
2021-12-15,1564773.61544103,44.063235398,35512,682535.766249453,35319,193,585546.718553642,979226.896887386,40,13,5
2022-05-09,4141716.07459435,62.73046278,66024,1146715.86054759,65724,300,2167194.02865116,1974522.04594319,47,15,7
2022-06-05,4350118.31386155,59.879395357,72648,1479461.97121038,72313,335,3189531.07982878,1160587.23403277,55,15,8
2022-01-22,1715420.34491706,42.81059009,40070,589850.704296819,39861,209,681657.976877368,1033762.36803969,40,13,5
2022-02-23,1951712.54545874,41.21972049,47349,601016.658551886,47112,237,742326.341952413,1209386.20350633,42,14,6
2022-01-21,1698257.69695065,42.519158182,39941,615444.581022989,39733,208,674455.741379647,1023801.955571,40,13,5
2022-05-08,4079180.69251681,62.175050185,65608,1215732.16348866,65311,297,2167560.40843779,1911620.28407903,47,15,7
2022-02-13,1856235.899096,40.569028502,45755,605521.825038028,45527,228,722200.074715979,1134035.82438002,41,14,6
2022-05-16,4181310.49076113,60.136782551,69530,1414436.01199285,69215,315,3161984.30554844,1019326.18521269,48,15,7
2022-05-04,3974780.64874721,65.191331104,60971,1122126.19480858,60679,292,2055826.62767793,1918954.02106929,48,15,7
2022-01-06,1657318.18647392,43.089755771,38462,631334.633988219,38258,204,655813.140721692,1001505.04575223,40,13,5
2022-05-29,4265287.49217573,59.189957011,72061,1412673.37574338,71731,330,3113387.87692385,1151899.61525188,53,15,8
2021-12-22,1590857.81122419,43.697682009,36406,641351.67207343,36211,195,631600.063606758,959257.747617426,40,13,5
2022-02-05,1809158.60559529,43.433010169,41654,625262.011008836,41442,212,688514.464134864,1120644.14146043,40,13,5
2022-04-20,3469821.34249678,58.718969446,59092,803399.593135882,58813,279,1679582.4097492,1790238.93274758,46,14,7
2022-04-06,3117807.5515316,54.117328882,57612,809639.331928342,57340,272,1428367.1152054,1689440.4363262,46,14,7
2022-03-10,2219975.0778137,43.564799988,50958,647602.881267203,50704,254,869566.489736188,1350408.58807751,47,14,7
2022-01-29,1779294.33579219,43.489705859,40913,633388.433668257,40703,210,727400.203991582,1051894.13180061,40,13,5
