BALANCE_DATE,LABEL_TYPE,STAKED_ETH_BALANCE
2022-06-09,cex,69838.319615709
2022-01-19,dapp,179852.61051703
2022-02-08,dex,622104.065153949
2022-02-23,cex,3399.983739587
2022-02-05,dex,625576.020735543
2022-04-18,flotsam,12.408389711
2022-01-16,defi,196741.373075807
2022-04-07,layer2,87.636880671
2022-02-20,flotsam,1e-18
2022-03-14,flotsam,12.408389711
2022-04-20,layer2,87.636880671
2022-03-21,nft,1e-18
2022-03-25,cex,6819.943722129
2022-01-03,dapp,149813.552484069
2022-02-26,dapp,293664.770402285
2022-05-28,cex,11525.440592368
2022-02-10,dex,623747.570574331
2022-03-03,defi,335056.217933529
2022-06-02,dapp,15264.794726981
2022-05-30,defi,55939.919481582
2021-12-31,dapp,145953.764844557
2022-04-01,dex,779111.001378269
2022-05-31,nft,1e-18
2022-05-04,layer2,93.498026874
2022-01-08,flotsam,1e-18
2022-05-17,nft,1e-18
2022-05-14,nft,1e-18
2022-04-27,layer2,91.822730662
2022-03-18,nft,1e-18
2022-04-23,nft,1e-18
2022-03-03,flotsam,1e-18
2022-06-13,cex,131526.062632716
2022-03-23,dex,725292.668210624
2022-02-18,cex,8052.599120742
2022-05-06,dex,825923.323050482
2022-05-26,cex,10890.806597505
2022-02-16,cex,7714.740534584
2022-06-03,dapp,15264.794726981
2022-01-02,dex,623700.828769229
2022-04-25,defi,633238.328457845
2021-12-21,dex,640884.152113152
2022-04-30,defi,668216.355219609
2022-06-07,dex,599957.982388798
2022-02-01,defi,198988.439597215
2022-04-11,dex,815513.772845482
2022-04-03,defi,547467.22609506
2022-03-25,defi,515836.920818169
2022-03-13,flotsam,12.408389711
2022-04-23,layer2,87.636880671
2022-01-17,flotsam,1e-18
2022-04-23,flotsam,12.408389711
2022-05-02,layer2,93.498026874
2022-06-08,nft,1e-18
2022-05-20,dapp,367568.700919624
2022-04-26,dex,816049.552568798
2022-06-12,dex,509735.716253416
2022-06-13,dapp,15397.472136153
2022-06-12,nft,1e-18
2022-05-22,dapp,367568.734947096
2022-05-13,dex,619751.271330753
2022-02-14,layer2,9.338091937
2022-04-23,dex,811772.639853315
2022-01-23,dex,584751.4920893
2022-02-09,layer2,6.267444713
2022-02-27,flotsam,1e-18
2022-03-28,nft,1e-18
2022-04-02,flotsam,12.408389711
2022-04-20,defi,633445.09934952
2022-03-20,layer2,83.924980422
2022-03-20,flotsam,12.408389711
2022-04-12,flotsam,12.408389711
2022-03-18,flotsam,12.408389711
2022-04-03,layer2,87.636880671
2022-05-09,layer2,92.620586269
2022-05-10,flotsam,12.408389711
2022-03-26,nft,1e-18
2022-06-05,dapp,15264.794726981
2022-04-04,cex,6656.021999891
2022-05-07,cex,8417.874561252
2022-05-14,dapp,342109.409698757
2022-03-20,defi,488899.385086895
2022-02-14,defi,267714.455312036
2022-03-03,dex,611220.575715074
2022-03-12,dex,656700.971724787
2021-12-24,dex,641752.219112128
2022-02-06,cex,7613.597465632
2022-05-18,dex,577141.891679268
2022-02-19,flotsam,1e-18
2022-04-28,defi,667986.747361863
2022-04-29,flotsam,12.408389711
2022-05-26,dex,703720.51863723
2022-05-03,defi,668216.355219609
2022-03-25,flotsam,12.408389711
2022-05-28,flotsam,12.408389711
2022-04-09,nft,1e-18
2022-03-18,layer2,83.721544525
2022-03-24,dapp,300909.170771637
2022-01-09,dex,629595.494861506
2022-02-03,dex,622182.280343475
2022-03-03,cex,3666.576478763
2022-05-12,dex,672786.443483782
2021-12-25,defi,145601.141992376
2022-02-10,dapp,250478.735609072
2022-05-05,defi,720450.231446748
2022-03-07,dapp,284854.631612986
2021-12-27,dapp,139448.593427736
2022-04-10,defi,544434.226279101
2022-06-04,token,0.1511781939
2022-04-01,nft,1e-18
2022-06-13,operator,5940
2022-05-04,nft,1e-18
2022-03-11,layer2,11.284070944
2022-03-28,layer2,87.998809379
2022-06-06,dex,685675.380620375
2022-04-02,cex,6679.921137354
2022-04-13,dapp,327693.299844323
2021-12-19,dapp,133103.698313121
2022-01-01,dapp,147223.501719483
2022-01-27,dapp,207110.442374092
2022-02-05,cex,7580.410042914
2022-03-07,cex,3658.293220597
2022-04-17,cex,8251.144270013
2021-12-20,dapp,134240.928582991
2022-02-08,defi,256599.12527671
2022-04-16,defi,603899.477945576
2022-02-16,dex,609118.740690914
2022-05-25,flotsam,12.408389711
2022-06-02,dex,667781.517229233
2022-01-25,dapp,178365.514569495
2022-05-23,flotsam,12.408389711
2022-05-28,nft,1e-18
2022-01-10,flotsam,1e-18
2022-02-18,flotsam,1e-18
2022-05-29,token,0.1511781939
2022-03-16,layer2,83.721544525
2021-12-18,cex,37875.453633763
2022-03-12,flotsam,12.408389711
2022-05-05,dex,825273.406838516
2022-05-19,cex,12128.928809554
2022-05-04,dapp,357713.621521691
2022-01-13,dex,634288.657862785
2022-04-04,nft,1e-18
2022-04-30,nft,1e-18
2022-04-08,flotsam,12.408389711
2022-03-31,nft,1e-18
2022-03-10,nft,1e-18
2022-04-05,flotsam,12.408389711
2022-04-13,layer2,87.636880671
2022-04-18,cex,8251.144270013
2022-01-09,cex,6964.622842309
2022-02-17,cex,8053.073291664
2022-05-14,flotsam,12.408389711
2022-01-18,dapp,179254.135110166
2022-04-13,defi,527698.038256439
2022-05-15,dex,564585.213175023
2022-01-24,defi,230621.208146512
2022-01-29,defi,198413.675646704
2021-12-31,flotsam,1e-18
2022-04-13,flotsam,12.408389711
2022-04-05,layer2,87.636880671
2022-02-24,flotsam,1e-18
2022-06-02,cex,12063.589623958
2022-05-02,dapp,357738.206921956
2022-03-17,cex,3784.327980312
2022-05-02,dex,828296.114094618
2022-03-30,defi,515956.866570303
2022-01-10,defi,197470.635611343
2022-01-18,flotsam,1e-18
2022-05-06,layer2,92.591957277
2022-04-17,layer2,87.636880671
2022-06-11,nft,1e-18
2022-04-10,flotsam,12.408389711
2022-02-22,cex,8402.278101821
2022-04-09,dex,815513.772845482
2022-06-11,cex,106699.208585879
2022-02-18,dapp,255666.818096112
2021-12-27,cex,45177.036886462
2022-02-21,dapp,260198.940423724
2022-04-11,defi,544434.226279101
2021-12-30,dex,622231.702337652
2022-05-22,dex,676006.031048521
2022-05-25,layer2,94.253129678
2022-05-06,flotsam,12.408389711
2022-03-24,nft,1e-18
2022-04-19,nft,1e-18
2022-05-19,flotsam,12.408389711
2022-05-26,flotsam,12.408389711
2022-03-23,cex,6926.202830168
2022-03-28,dapp,303520.988463622
2022-05-01,cex,8036.328406586
2022-05-01,dapp,357738.240949429
2022-05-08,cex,29451.079946261
2022-01-24,dapp,180933.056311192
2022-03-14,cex,3777.273299384
2022-06-01,defi,440973.584490005
2022-01-24,dex,584044.540195347
2022-05-25,dapp,383526.703302837
2022-03-19,dapp,304992.779219971
2022-01-08,dex,613537.372646272
2022-04-16,dex,811113.497469695
2022-04-10,layer2,87.636880671
2022-01-20,cex,7070.406228642
2022-02-23,dex,601316.058127058
2022-03-01,cex,3660.729771805
2022-03-04,cex,3637.069196802
2022-03-31,defi,548637.902287234
2022-01-22,defi,258804.326283563
2022-01-16,dex,628879.17123892
2022-03-31,cex,7117.58031366
2022-01-20,dapp,180781.196619349
2022-04-15,defi,603461.888432793
2022-01-20,dex,614520.152665418
2022-05-30,layer2,87.302386096
2022-05-20,flotsam,12.408389711
2022-06-04,layer2,87.302507549
2022-06-12,flotsam,12.408389711
2022-04-21,flotsam,12.408389711
2022-02-23,flotsam,1e-18
2022-03-30,cex,7114.794862114
2022-01-11,cex,6998.063856447
2022-01-20,defi,199325.526462422
2022-03-11,cex,3784.418786434
