BALANCE_DATE,LABEL_SUBTYPE,STAKED_ETH_BALANCE
2022-01-15,deposit_wallet,509.084337951
2022-03-29,deposit_wallet,517.176091134
2022-04-14,deposit_wallet,563.046092114
2021-12-22,deposit_wallet,448.144329775
2022-02-09,deposit_wallet,494.642745578
2022-02-12,treasury,2600.676428385
2021-12-15,deposit_wallet,436.869884843
2022-05-13,deposit_wallet,663.043603361
2022-04-11,deposit_wallet,563.046092114
2022-06-06,deposit_wallet,725.411295628
2022-03-29,pool,718370.999284696
2022-05-19,nf_position_manager,1e-18
2022-03-21,hot_wallet,3284.76754787
2022-01-29,contract_deployer,1e-18
2022-04-10,swap_contract,4.3e-17
2022-01-12,swap_contract,4.2e-17
2022-05-03,contract_deployer,1e-18
2022-06-09,swap_router,1e-18
2022-04-24,swap_router,1e-18
2021-12-22,contract_deployer,1e-18
2022-03-28,vault,466213.115390699
2022-05-20,distributor_cex,0.000005828418349
2022-01-03,swap_router,1e-18
2022-05-12,hot_wallet,8004.99714739
2022-01-12,treasury,2201.474769099
2022-03-20,rewards,1e-18
2022-04-02,treasury,3349.36485789
2022-03-28,rewards,1e-18
2022-05-28,swap_router,1e-18
2021-12-15,rewards,1e-18
2022-05-20,vault,19651.718514991
2022-01-19,rewards,1e-18
2022-04-12,vault,478399.461574158
2022-04-15,deposit_wallet,563.047220499
2022-01-16,deposit_wallet,509.084337951
2022-05-12,token_contract,324028.116527798
2022-03-20,general_contract,60987.274706741
2022-04-12,hot_wallet,7011.438409996
2022-02-03,swap_contract,4.2e-17
2022-03-15,swap_contract,4.2e-17
2022-03-06,rewards,1e-18
2022-03-16,token_contract,285750.465762183
2022-05-15,bridge,94.230248921
2022-05-02,vault,619313.687367951
2022-04-22,toxic,12.408389711
2022-02-11,pool,627342.748604703
2022-03-31,toxic,12.408389711
2022-02-10,swap_contract,4.2e-17
2022-06-11,swap_contract,4.6e-17
2021-12-23,treasury,1956.736904172
2022-04-26,pool,815604.021454064
2022-04-02,hot_wallet,6161.220382199
2022-06-12,pool,508252.362602613
2022-01-11,swap_contract,4.2e-17
2022-05-30,toxic,12.408389711
2022-06-13,vault,4333.64757025
2022-05-16,treasury,3533.961532071
2022-02-10,token_contract,238156.225015703
2022-01-13,contract_deployer,1e-18
2022-05-21,bridge,94.240920126
2022-03-31,vault,499553.195862747
2022-05-05,rewards,1e-18
2022-05-07,contract_deployer,1e-18
2021-12-16,toxic,1e-18
2022-01-07,swap_router,1e-18
2022-01-15,toxic,1e-18
2022-01-08,distributor_cex,1.619909659
2022-03-11,contract_deployer,1e-18
2022-02-06,contract_deployer,1e-18
2021-12-17,treasury,1918.647745454
2022-01-24,deposit_wallet,487.003204483
2022-05-31,contract_deployer,0.01220955203
2022-01-17,deposit_wallet,509.084337951
2022-04-28,treasury,3123.559713847
2022-04-27,pool,824399.051835516
2022-04-20,bridge,87.636880671
2022-03-10,hot_wallet,3229.840992938
2022-05-23,hot_wallet,10123.258902027
2022-01-14,pool,637560.866153649
2022-05-15,token_contract,325845.224114086
2022-05-22,rewards,1e-18
2022-05-10,rewards,1e-18
2022-04-23,hot_wallet,7310.257798292
2022-04-11,toxic,12.408389711
2022-01-09,swap_router,1e-18
2022-05-18,bridge,94.240920126
2022-01-29,token_contract,200201.105554848
2022-02-19,bridge,9.647649927
2022-02-13,vault,218644.047091679
2022-04-15,treasury,3215.730596046
2022-01-05,treasury,2114.934585663
2022-01-30,vault,149687.936734573
2022-01-01,contract_deployer,1e-18
2022-01-07,rewards,1e-18
2021-12-31,rewards,1e-18
2022-05-27,contract_deployer,0.01220955203
2022-04-08,rewards,1e-18
2022-03-24,vault,466776.14728848
2022-03-23,rewards,1e-18
2022-02-06,distributor_cex,1.619909659
2022-05-13,distributor_cex,0.000005828418349
2021-12-30,treasury,2041.525154686
2022-01-15,distributor_cex,1.619909659
2022-05-07,toxic,12.408389711
2022-01-26,rewards,1e-18
2022-01-10,distributor_cex,1.619909659
2022-03-15,deposit_wallet,539.2406995
2022-05-12,general_contract,59308.002194223
2021-12-15,hot_wallet,37353.54545812
2022-05-06,swap_contract,4.4e-17
2022-04-13,rewards,1e-18
2022-01-01,deposit_wallet,447.219701918
2022-02-24,swap_contract,4.2e-17
2021-12-17,pool,682140.995138867
2021-12-26,pool,641549.196056354
2022-03-06,hot_wallet,3109.447166424
2022-05-19,vault,19651.718514991
2022-02-24,token_contract,281711.379831467
2022-03-18,contract_deployer,1e-18
2022-04-30,swap_contract,4.5e-17
2022-05-16,hot_wallet,10479.815452248
2022-02-26,contract_deployer,1e-18
2022-04-19,pool,807320.857265568
2022-01-11,hot_wallet,6575.832132922
2022-05-15,nf_position_manager,1e-18
2022-05-30,distributor_cex,0.000005828418349
2022-05-20,treasury,3533.961532071
2022-03-13,swap_contract,4.2e-17
2022-04-09,swap_contract,4.3e-17
2022-04-29,token_contract,343331.986619784
2022-06-06,swap_router,1e-18
2022-04-02,toxic,12.408389711
2022-04-11,bridge,87.636880671
2022-02-20,treasury,2709.22138805
2021-12-16,swap_router,1e-18
2022-04-30,swap_router,1e-18
2022-05-14,rewards,1e-18
2022-06-05,swap_router,1e-18
2022-06-04,rewards,1e-18
2022-05-31,treasury,3679.372605036
2022-05-23,distributor_cex,0.000005828418349
2022-04-17,treasury,3235.926038437
2022-02-28,swap_router,1e-18
2022-01-20,deposit_wallet,509.233893506
2022-01-21,deposit_wallet,509.233893506
2022-04-19,swap_router,1e-18
2022-04-20,deposit_wallet,563.047220509
2021-12-19,deposit_wallet,440.809988686
2022-02-16,contract_deployer,1e-18
2022-03-22,general_contract,60988.038044689
2022-03-06,general_contract,57186.412804983
2022-03-25,toxic,12.408389711
2022-04-22,pool,807933.168914159
2022-05-09,rewards,1e-18
2022-03-12,pool,658201.974341482
2022-01-25,swap_router,1e-18
2022-03-02,token_contract,273636.10480562
2022-02-16,token_contract,244492.637808509
2022-02-14,distributor_cex,1.619909659
2022-02-22,rewards,1e-18
2022-05-25,token_contract,364725.55998195
2022-05-30,swap_contract,4.5e-17
2022-02-14,contract_deployer,1e-18
2022-05-14,swap_router,1e-18
2022-05-25,bridge,94.241041579
2021-12-27,toxic,1e-18
2022-01-02,token_contract,137015.34692767
2022-06-02,contract_deployer,0.01220955203
2022-05-01,distributor_cex,0.000005828418349
2022-05-03,rewards,1e-18
2022-05-09,treasury,3368.626237626
2022-04-04,contract_deployer,1e-18
2022-05-13,nf_position_manager,1e-18
2022-05-22,treasury,3533.961532071
2021-12-27,rewards,1e-18
2022-01-19,general_contract,57455.314119142
2022-03-17,deposit_wallet,535.916749797
2022-05-07,general_contract,57685.073069626
2022-04-16,rewards,1e-18
2021-12-24,pool,642861.184233122
2022-01-27,deposit_wallet,487.148445578
