BALANCE_DATE,LABEL,STAKED_ETH_BALANCE
2021-12-21,lido,126786.391970434
2022-02-22,sybil delegate,8207.147547609
2022-02-04,sybil delegate,8527.738730586
2022-05-04,gate.io,124.658204223
2022-01-24,1inch,226.932125912
2022-03-18,fei protocol,48780.716712921
2022-04-29,1inch,293.780135313
2022-05-18,anchor,17819.616138851
2022-04-09,anchor,495413.467349901
2022-01-08,lido,164458.66121714
2022-01-16,idex,100.907203896
2022-04-16,ftx,7678.383088269
2022-01-06,inverse finance,5359.080023632
2022-01-25,anchor,181974.056383271
2022-05-24,ribbon finance,2132.1978793
2022-03-26,1inch,280.710232262
2022-04-19,ftx,7678.403293411
2022-02-24,fei protocol,48780.716712921
2022-05-27,uniswap,917.029931019
2022-01-22,idex,100.907203896
2022-02-01,inverse finance,145.305207989
2022-01-18,sybil delegate,8527.738730586
2022-01-27,curve fi,591417.333462554
2022-04-03,idex,100.907203896
2022-04-26,anchor,615947.609722671
2022-04-22,idex,100.907203896
2022-04-21,ribbon finance,705.507705541
2022-05-23,ribbon finance,2132.1978793
2022-06-02,sybil delegate,8207.147547609
2021-12-24,lido,130676.315734027
2022-01-17,anchor,146219.334808853
2022-06-07,lido,407491.294880818
2022-04-12,fei protocol,48780.716712921
2022-04-06,anchor,499188.172468551
2022-03-08,curve fi,611052.621528717
2022-03-13,fei protocol,48780.716712921
2022-05-05,fei protocol,48780.716712921
2022-05-05,ftx,7631.376084995
2022-02-03,ftx,7054.504008952
2022-06-06,fei protocol,48780.716712921
2022-05-04,fei protocol,48780.716712921
2022-05-15,lido,329353.847546436
2022-05-18,ribbon finance,1849.672677499
2022-05-20,ico-wallets,5554.442160625
2022-04-10,ftx,6121.91839313
2022-01-26,inverse finance,140.126564302
2021-12-24,ribbon finance,111.802769871
2022-06-03,opportunist,201.578256191
2022-05-14,gate.io,108.198891117
2022-05-07,uniswap,462.782649885
2022-01-22,ftx,4243.459995283
2022-05-11,ftx,24268.45022595
2022-03-15,idex,100.907203896
2022-05-09,sybil delegate,8207.147547609
2022-03-17,lido,293210.585068125
2022-03-05,inverse finance,159.382461886
2022-01-18,ftx,6656.388976312
2022-01-21,lido,173306.554912153
2022-03-12,fei protocol,48780.716712921
2022-03-10,inverse finance,147.454568565
2022-05-14,top degen,1186.111833258
2022-05-27,ftx,10262.330738795
2021-12-19,sybil delegate,8527.738730586
2022-06-02,top degen,1186.111833258
2021-12-25,sybil delegate,8527.738730586
2022-05-24,opportunist,201.578256191
2022-04-19,curve fi,806953.452814865
2022-06-03,lido,385191.255760898
2022-06-03,sybil delegate,8207.147547609
2022-03-07,ribbon finance,470.730864665
2022-03-26,anchor,466130.294606151
2022-02-03,curve fi,621863.374634882
2022-05-14,ftx,9924.314071541
2021-12-27,lido,130904.310159536
2022-02-01,sybil delegate,8527.738730586
2022-05-06,lido,336858.774406817
2022-02-14,lido,245669.291351506
2022-04-18,anchor,555073.232351251
2022-02-10,lido,241929.142517126
2021-12-22,lido,126865.979221989
2022-01-04,ftx,44975.398281314
2022-06-04,anchor,6433.983703691
2022-01-05,ribbon finance,993.661067784
2021-12-15,sybil delegate,8527.738730586
2022-01-20,lido,172236.887988152
2022-02-22,anchor,231757.200004641
2022-03-10,1inch,248.749946381
2022-04-08,curve fi,815107.164305662
2022-04-14,1inch,269.199366707
2022-05-29,lido,371378.84936651
2022-05-08,lido,357031.932720958
2022-06-07,fei protocol,48780.716712921
2022-03-23,lido,288386.160768998
2022-01-15,sybil delegate,8527.738730586
2022-05-08,anchor,586353.06104256
2022-02-06,inverse finance,145.305207989
2021-12-16,anchor,95831.786242599
2022-01-05,inverse finance,5359.080023632
2022-05-28,fei protocol,48780.716712921
2021-12-27,fei protocol,24267.348169471
2022-05-25,sybil delegate,8207.147547609
2022-01-21,1inch,229.449129698
2022-01-15,fei protocol,48780.716712921
2022-03-08,ribbon finance,1219.763311714
2022-01-24,ftx,9953.21522579
2022-05-19,sybil delegate,8207.147547609
2022-04-29,idex,100.907203896
2022-03-24,idex,100.907203896
2022-04-16,curve fi,810694.019275176
2022-06-04,inverse finance,551.124462083
2021-12-25,anchor,113683.027993206
2022-02-11,anchor,207278.101433991
2021-12-18,ribbon finance,127.604395137
2022-02-05,anchor,208174.167943071
2022-03-26,sybil delegate,11757.744590542
2022-06-13,ico-wallets,5554.442160625
2022-03-07,ftx,3106.472705346
2022-06-09,opportunist,201.578256191
2022-01-17,sybil delegate,8527.738730586
2022-02-03,fei protocol,48780.716712921
2022-05-07,idex,100.907203896
2022-05-24,ftx,10161.465905963
2022-02-02,idex,100.907203896
2022-03-21,ribbon finance,182.37671686
2022-05-20,1inch,231.796089297
2022-04-06,1inch,280.990292302
2022-03-09,curve fi,621103.302360173
2022-05-23,anchor,22269.728899281
2022-01-13,ribbon finance,896.311002621
2022-02-11,inverse finance,144.963998666
2022-03-11,inverse finance,147.454568565
2022-02-22,1inch,222.863807785
2022-01-15,1inch,235.736830288
2022-01-30,idex,100.907203896
2022-01-31,fei protocol,48780.716712921
2021-12-30,ribbon finance,3289.509896162
2022-06-06,opportunist,201.578256191
2022-06-12,ftx,131411.739061705
2022-05-18,curve fi,575588.345618692
2022-01-14,sybil delegate,8527.738730586
2022-03-25,sybil delegate,11757.744590542
2022-02-04,inverse finance,145.305207989
2022-01-17,ftx,6652.330822857
2022-01-23,1inch,219.807213386
2022-05-15,sybil delegate,8207.147547609
2022-05-11,sybil delegate,8207.147547609
2021-12-25,ftx,44659.911142394
2022-02-07,lido,228321.867373892
2021-12-24,fei protocol,24267.348169471
2022-05-18,ico-wallets,5554.442160625
2022-02-21,1inch,199.757460445
2022-03-01,anchor,282106.764102641
2022-02-02,1inch,239.308937138
2022-01-11,1inch,256.350058962
2022-05-17,sybil delegate,8207.147547609
2022-04-28,fei protocol,48780.716712921
2022-05-29,1inch,225.81027982
2022-05-11,top degen,1186.111833258
2021-12-21,anchor,112334.230324274
2022-02-25,inverse finance,144.963998666
2022-02-09,1inch,217.306552091
2022-05-17,top degen,1186.111833258
2022-01-10,ftx,6564.544161395
2022-04-18,idex,100.907203896
2022-03-06,fei protocol,48780.716712921
2022-01-07,sybil delegate,8527.738730586
2022-06-05,opportunist,201.578256191
2022-02-03,idex,100.907203896
2022-02-02,curve fi,622330.628152969
2022-04-12,curve fi,816519.050408616
2022-02-14,sybil delegate,8527.738730586
2022-02-21,inverse finance,144.963998666
