DATE,TX_ID,AMOUNT_IN,AMOUNT_OUT,GAIN_OR_LOSS,LOSING_TRADE_COUNTS,TRADE,IN_TOKEN,OUT_TOKEN,POOL_NAME,PLATFORM,ROUTER
2022-06-10,0xaa36f73adbbe899d8bfc7c88612f8c0222aaa278c13b0c25cbe3cf243a286423,1.028833855,1,-0.02883385496,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x7c6091d377f1fc852a2bebce980080e8d4d5698adf4fa24e5161f5c70646c344,104.92658335,100,-4.92658335,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0xf51f6e1ac0dad198ff7397a2f790409d319431bb4f52f429785619b8c3a4522f,5.254764779,5,-0.254764779,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x98549a5c4e8b2d87c049ec522aed51fd972bbdb6fc26663977b7ba423aced654,0.9905,0.9316112618,-0.05888873819,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-12,0x39944a768a6c49eabe068d457967f374aa045d131a4b2b92690818608967acc6,0.3321117483,0.3184192251,-0.01369252319,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x4b5ae1ea586f9ab0281f7ebea04adeebd852efdf1c73d5b5b7ef27520be75e76,829.316774174,800,-29.316774174,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0xecedf18065d65045b86d8fc0b192ce770d7d5d48caf0b5b479987989a36e762f,2.080931647,2,-0.08093164658,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x33ee0a65f3e9e76f14b7e7698af8e71da474c8465ca4c2d42631fcc97a49f6cf,3.055001488,2.830950674,-0.2240508133,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-06-13,0x2d0e8cb6bb3ad9a5533212e50348b2162ac70df3c63bb02c19758575b6bd28c8,1.700089079,1.593937006,-0.1061520734,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0xcb154616792bc69b860969d3468b9a4cae1d55b2eb9d84ef84cda88c818aff2e,1052.431166801,1000,-52.431166801,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0xa989cea6fdd4c7188604ac110ed364ddea7fd917bff4e2f508c091d9db9618ba,125.911264588,121,-4.911264588,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x00845b4cb4904799426fbc351c3d5f2f9917417254ea03354358c4846cc4c215,3.027744732,2.86066109,-0.1670836421,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
