DATE,SYMBOL,MEAN_PRICE,MIN_PRICE,MAX_PRICE
2022-05-16,stETH,2005.125550484,1966.828515487,2097.478
2022-01-26,WETH,2504.539542407,2422.929399302,2632.158596926
2022-05-15,stETH,2023.756962041,1962.739062633,2112.057407407
2022-02-03,WETH,2643.560230046,2599.613417524,2698.954316579
2022-06-02,WETH,1821.294764218,1798.726148416,1838.052275753
2022-02-07,stETH,3091.113489932,3004.677787113,3168.556403679
2022-03-25,stETH,3122.447181045,3089.07435657,3174.912124257
2022-02-15,stETH,3070.083522671,2922.1950173,3154.96789072
2022-03-04,WETH,2700.783015989,2602.387991073,2814.65285592
2022-02-28,WETH,2703.203258161,2605.595252766,2906.147588772
2022-06-01,stETH,1860.970356669,1760.171991149,1924.2272
2022-04-12,stETH,3010.258563927,2962.502280841,3063.110369984
2022-03-30,stETH,3386.267630761,3355.333609627,3422.096981
2022-03-06,WETH,2634.062452951,2580.806177877,2668.604644765
2022-02-19,WETH,2773.638731634,2721.384409576,2820.66573822
2022-06-12,stETH,1425.304458056,1389.3584,1477.118358465
2022-05-31,WETH,1967.827021214,1936.717222004,1994.412595063
2022-01-01,stETH,3701.433684881,3669.490218577,3734.626682544
2022-02-27,WETH,2730.463343932,2607.573239718,2816.72535227
2022-05-23,WETH,2039.864036001,1971.614097138,2075.362466656
2022-03-08,WETH,2558.982203895,2508.376826016,2600.855715825
2022-01-10,stETH,3092.038305297,2990.473546324,3159.2417735
2022-03-19,WETH,2950.533470262,2927.874760083,2970.246138474
2022-05-05,WETH,2862.415883788,2717.931193555,2947.510660357
2022-04-15,WETH,3028.297554137,3013.236736588,3037.976321737
2022-02-26,WETH,2790.685116507,2754.926244308,2834.999486255
2022-04-19,stETH,3063.517512397,3032.154559423,3103.420239322
2022-01-28,WETH,2438.621224938,2376.82515963,2541.555568505
2022-05-28,WETH,1770.418062198,1731.828847276,1792.698129725
2022-03-02,WETH,2967.510738831,2927.801983299,3017.718913391
2022-05-27,WETH,1761.911644787,1727.169604003,1806.776071944
2022-03-29,WETH,3406.794363431,3347.542659937,3467.65772591
2022-02-18,WETH,2861.808811114,2775.401591215,2935.564872565
2022-04-17,WETH,3048.43971969,3018.311115368,3071.796651101
2022-02-26,stETH,2785.412130001,2749.648745845,2828.99961967
2022-06-02,stETH,1786.00427856,1760.335436292,1801.493448276
2022-03-25,WETH,3128.0186016,3094.134851713,3179.215059058
2022-04-11,stETH,3081.484131609,2981.916191021,3195.451452275
2022-02-22,stETH,2574.49194595,2511.213153299,2634.693758918
2022-02-11,stETH,3045.710389174,2902.29737729,3114.404415319
2022-03-17,WETH,2787.208479676,2756.860240409,2817.331073104
2022-02-16,stETH,3123.954442095,3062.062116822,3169.198782234
